اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
ضاحية الرضا,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ضاحية الرضا,32.0050,35.9800
ضاحية الروضة,لواء قصبة عمان,مديرية شرطة جنوب عمان,مركز أمن جبل الزهور,ضاحية الروضة,31.9220,35.9250
ضاحية الزهور,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ضاحية الزهور,32.0583,35.7501
ضاحية السلام,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ضاحية السلام,32.0160,35.8650
ضاحية الشروق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ضاحية الشروق,32.0571,35.7446
ضاحية النخيل,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,ضاحية النخيل,31.9050,35.8750
ضاحية الياسمين,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,ضاحية الياسمين,31.9180,35.9180
ضاحية خليل الرحمن,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,ضاحية خليل الرحمن,31.9100,35.8800
طاب كراع,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,طاب كراع,32.0512,35.8918
طبربور,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,طبربور,32.0031,35.9472
